;Country;Region;Pop. Density (per sq. mi.);Infant mortality (per 1000 births);GDP ($ per capita) dollars
147;Netherlands Antilles ;LATIN AMER. & CARIB;231;10.03;11400.0
148;New Caledonia ;OCEANIA;11,5;7.72;15000.0
149;New Zealand ;OCEANIA;15,2;5.85;21600.0
150;Nicaragua ;LATIN AMER. & CARIB;43;29.11;2300.0
151;Niger ;SUB-SAHARAN AFRICA;9,9;121.69;800.0
152;Nigeria ;SUB-SAHARAN AFRICA;142,7;98.8;900.0
153;N. Mariana Islands ;OCEANIA;172,9;7.11;12500.0
154;Norway ;WESTERN EUROPE;14,2;3.7;37800.0
155;Oman ;NEAR EAST;14,6;19.51;13100.0
156;Pakistan ;ASIA (EX. NEAR EAST);206,2;72.44;2100.0
157;Palau ;OCEANIA;44,9;14.84;9000.0
158;Panama ;LATIN AMER. & CARIB;40,8;20.47;6300.0
159;Papua New Guinea ;OCEANIA;12,3;51.45;2200.0
160;Paraguay ;LATIN AMER. & CARIB;16;25.63;4700.0
161;Peru ;LATIN AMER. & CARIB;22;31.94;5100.0
162;Philippines ;ASIA (EX. NEAR EAST);298,2;23.51;4600.0
163;Poland ;EASTERN EUROPE;123,3;8.51;11100.0
164;Portugal ;WESTERN EUROPE;114,8;5.05;18000.0
165;Puerto Rico ;LATIN AMER. & CARIB;284,8;8.24;16800.0
166;Qatar ;NEAR EAST;77,4;18.61;21500.0
167;Reunion ;SUB-SAHARAN AFRICA;312,9;7.78;5800.0
168;Romania ;EASTERN EUROPE;93,9;26.43;7000.0
169;Russia ;C.W. OF IND. STATES;8,4;15.39;8900.0
170;Rwanda ;SUB-SAHARAN AFRICA;328,4;91.23;1300.0
171;Saint Helena ;SUB-SAHARAN AFRICA;18,2;19.0;2500.0
172;Saint Kitts & Nevis ;LATIN AMER. & CARIB;149,9;14.49;8800.0
173;Saint Lucia ;LATIN AMER. & CARIB;273,5;13.53;5400.0
174;St Pierre & Miquelon ;NORTHERN AMERICA;29;7.54;6900.0
175;Saint Vincent and the Grenadines ;LATIN AMER. & CARIB;303;14.78;2900.0
176;Samoa ;OCEANIA;60,1;27.71;5600.0
177;San Marino ;WESTERN EUROPE;479,5;5.73;34600.0
178;Sao Tome & Principe ;SUB-SAHARAN AFRICA;193,2;43.11;1200.0
179;Saudi Arabia ;NEAR EAST;;13.24;11800.0
180;Senegal ;SUB-SAHARAN AFRICA;61,1;55.51;1600.0
181;Serbia ;EASTERN EUROPE;106,3;12.89;2200.0
182;Seychelles ;SUB-SAHARAN AFRICA;179,2;15.53;
183;Sierra Leone ;SUB-SAHARAN AFRICA;83,7;143.64;500.0
184;Singapore ;ASIA (EX. NEAR EAST);6482,2;2.29;23700.0
185;Slovakia ;EASTERN EUROPE;111,4;7.41;13300.0
186;Slovenia ;EASTERN EUROPE;99,2;4.45;19000.0
187;Solomon Islands ;OCEANIA;19,4;21.29;1700.0
188;Somalia ;SUB-SAHARAN AFRICA;13,9;116.7;500.0
189;South Africa ;SUB-SAHARAN AFRICA;36,2;61.81;10700.0
190;Spain ;WESTERN EUROPE;80;4.42;22000.0
191;Sri Lanka ;ASIA (EX. NEAR EAST);308,2;14.35;3700.0
192;Sudan ;SUB-SAHARAN AFRICA;16,5;62.5;1900.0
193;Suriname ;LATIN AMER. & CARIB;2,7;23.57;400000.0
194;Swaziland ;SUB-SAHARAN AFRICA;65,5;69.27;4900.0
195;Sweden ;WESTERN EUROPE;20;2.77;26800.0
196;Switzerland ;WESTERN EUROPE;182,2;4.39;32700.0
197;Syria ;NEAR EAST;102;29.53;3300.0
198;Taiwan ;ASIA (EX. NEAR EAST);640,3;6.4;23400.0
199;Tajikistan ;C.W. OF IND. STATES;51,2;110.76;1000.0
200;Tanzania ;SUB-SAHARAN AFRICA;39,6;98.54;600.0
201;Thailand ;ASIA (EX. NEAR EAST);125,7;20.48;7400.0
202;Togo ;SUB-SAHARAN AFRICA;97,7;66.61;1500.0
203;Tonga ;OCEANIA;153,3;12.62;2200.0
204;Trinidad & Tobago ;LATIN AMER. & CARIB;207,9;24.31;9500.0
205;Tunisia ;NORTHERN AFRICA;62,2;24.77;6900.0
206;Turkey ;NEAR EAST;90,2;41.04;6700.0
207;Turkmenistan ;C.W. OF IND. STATES;10,3;73.08;5800.0
208;Turks & Caicos Is ;LATIN AMER. & CARIB;49,2;15.67;9600.0
209;Tuvalu ;OCEANIA;454,2;20.03;1100.0
210;Uganda ;SUB-SAHARAN AFRICA;119,5;67.83;1400.0
211;Ukraine ;C.W. OF IND. STATES;77,4;20.34;5400.0
212;United Arab Emirates ;NEAR EAST;31,4;14.51;23200.0
213;United Kingdom ;WESTERN EUROPE;247,6;5.16;27700.0
214;United States ;NORTHERN AMERICA;31;6.5;37800.0
215;Uruguay ;LATIN AMER. & CARIB;19,5;11.95;12800.0
216;Uzbekistan ;C.W. OF IND. STATES;61;71.1;1700.0
217;Vanuatu ;OCEANIA;17,1;55.16;2900.0
218;Venezuela ;LATIN AMER. & CARIB;28,2;22.2;4800.0
219;Vietnam ;ASIA (EX. NEAR EAST);256,1;25.95;2500.0
220;Virgin Islands ;LATIN AMER. & CARIB;56,9;8.03;17200.0
221;Wallis and Futuna ;OCEANIA;58,5;;3700.0
222;West Bank ;NEAR EAST;419,9;19.62;800.0
223;Western Sahara ;NORTHERN AFRICA;1;;
224;Yemen ;NEAR EAST;40,6;61.5;800.0
225;Zambia ;SUB-SAHARAN AFRICA;15,3;88.29;800.0
226;Zimbabwe ;SUB-SAHARAN AFRICA;31,3;67.69;1900.0
